index,title,authors,arxiv,cvf_html,cvf_pdf,poster_url,code_resource_found,github,website,model_demo,video,supplement,pages,bibtex_key,link_sources
1,Generalizable Structure-Aware Keypoint Correspondence for Category-Unified 3D Single Object Tracking,Jie Xiao; Yinchao Ma; Yuyang Tang; Dengqing Yang; Jianpeng Yang; Xu Zhou; Qiao Li; Wenfei Yang; Tianzhu Zhang,,https://openaccess.thecvf.com/content/CVPR2026/html/Xiao_Generalizable_Structure-Aware_Keypoint_Correspondence_for_Category-Unified_3D_Single_Object_Tracking_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xiao_Generalizable_Structure-Aware_Keypoint_Correspondence_for_Category-Unified_3D_Single_Object_Tracking_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37042,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Xiao_Generalizable_Structure-Aware_Keypoint_CVPR_2026_supplemental.pdf,28156-28166,Xiao_2026_CVPR,
2,DirectFisheye-GS: Enabling Native Fisheye Input in Gaussian Splatting with Cross-View Joint Optimization,Zhengxian Yang; Fei Xie; Xutao Xue; Rui Zhang; Taicheng Huang; Yang Liu; Mengqi Ji; Tao Yu,https://arxiv.org/abs/2604.00648,https://openaccess.thecvf.com/content/CVPR2026/html/Yang_DirectFisheye-GS_Enabling_Native_Fisheye_Input_in_Gaussian_Splatting_with_Cross-View_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_DirectFisheye-GS_Enabling_Native_Fisheye_Input_in_Gaussian_Splatting_with_Cross-View_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/39384,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Yang_DirectFisheye-GS_Enabling_Native_CVPR_2026_supplemental.zip,4942-4952,Yang_2026_CVPR,
3,CompBench: Benchmarking Complex Instruction-guided Image Editing,Bohan Jia; Wenxuan Huang; Yuntian Tang; Junbo Qiao; Jincheng Liao; Shaosheng Cao; Fei Zhao; Zhaopeng Feng; Zhouhong Gu; Zhenfei Yin; Lei Bai; Wanli Ouyang; Lin Chen; Fei Zhao; Zihan Wang; Yuan Xie; Shaohui Lin,https://arxiv.org/abs/2505.12200,https://openaccess.thecvf.com/content/CVPR2026/html/Jia_CompBench_Benchmarking_Complex_Instruction-guided_Image_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jia_CompBench_Benchmarking_Complex_Instruction-guided_Image_Editing_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38519,Yes,,https://comp-bench.github.io/,,,,1112-1122,Jia_2026_CVPR,Paper Digest code/data index
4,Choreographing a World of Dynamic Objects,Yanzhe Lyu; Chen Geng; Karthik Dharmarajan; Yunzhi Zhang; Hadi Alzayer; Shangzhe Wu; Jiajun Wu,https://arxiv.org/abs/2601.04194,https://openaccess.thecvf.com/content/CVPR2026/html/Lyu_Choreographing_a_World_of_Dynamic_Objects_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lyu_Choreographing_a_World_of_Dynamic_Objects_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38093,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Lyu_Choreographing_a_World_CVPR_2026_supplemental.pdf,32647-32658,Lyu_2026_CVPR,
5,Spk2VidNet: A Hierarchical Recurrent Architecture for High-Fidelity Video Reconstruction from Long Spike-Camera Streams,Yuanlin Wang; Ruiqin Xiong; Jiyu Xie; Zhenkun Zhu; Zhaofei Yu; Xiaopeng Fan; Tiejun Huang,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Spk2VidNet_A_Hierarchical_Recurrent_Architecture_for_High-Fidelity_Video_Reconstruction_from_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Spk2VidNet_A_Hierarchical_Recurrent_Architecture_for_High-Fidelity_Video_Reconstruction_from_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38367,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Wang_Spk2VidNet_A_Hierarchical_CVPR_2026_supplemental.zip,12140-12149,Wang_2026_CVPR,
6,Continual Distillation of Teachers from Different Domains,Nicolas Michel; Maorong Wang; Jiangpeng He; Toshihiko Yamasaki,https://arxiv.org/abs/2605.04059,https://openaccess.thecvf.com/content/CVPR2026/html/Michel_Continual_Distillation_of_Teachers_from_Different_Domains_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Michel_Continual_Distillation_of_Teachers_from_Different_Domains_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38004,Yes,https://github.com/Nicolas1203/continual_distillation,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Michel_Continual_Distillation_of_CVPR_2026_supplemental.pdf,10810-10819,Michel_2026_CVPR,Paper Digest code/data index
7,GT-SVJ: Generative-Transformer-Based Self-Supervised Video Judge For Efficient Video Reward Modeling,Shivanshu Shekhar; Uttaran Bhattacharya; Raghavendra Addanki; Mehrab Tanjim; Somdeb Sarkhel; Tong Zhang,https://arxiv.org/abs/2602.05202,https://openaccess.thecvf.com/content/CVPR2026/html/Shekhar_GT-SVJ_Generative-Transformer-Based_Self-Supervised_Video_Judge_For_Efficient_Video_Reward_Modeling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shekhar_GT-SVJ_Generative-Transformer-Based_Self-Supervised_Video_Judge_For_Efficient_Video_Reward_Modeling_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/39856,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Shekhar_GT-SVJ_Generative-Transformer-Based_Self-Supervised_CVPR_2026_supplemental.zip,9847-9858,Shekhar_2026_CVPR,
8,Beyond Euclidean Gossip: KL-Barycentric Consensus on Heterogeneous and Imbalanced Images,Lu Xu; Guosheng Yin,,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Beyond_Euclidean_Gossip_KL-Barycentric_Consensus_on_Heterogeneous_and_Imbalanced_Images_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Beyond_Euclidean_Gossip_KL-Barycentric_Consensus_on_Heterogeneous_and_Imbalanced_Images_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37678,Yes,https://github.com/x-lu/Beyond-euclidean-gossip,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Xu_Beyond_Euclidean_Gossip_CVPR_2026_supplemental.pdf,6167-6175,Xu_2026_CVPR,Paper Digest code/data index
9,HybridDriveVLA: Vision-Language-Action Model with Visual CoT reasoning and ToT Evaluation for Autonomous Driving,Yipene Cedric Francois Bassole; Sungwoo Kim; Jiwoo Jung; Yunsick Sung,,https://openaccess.thecvf.com/content/CVPR2026/html/Bassole_HybridDriveVLA_Vision-Language-Action_Model_with_Visual_CoT_reasoning_and_ToT_Evaluation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Bassole_HybridDriveVLA_Vision-Language-Action_Model_with_Visual_CoT_reasoning_and_ToT_Evaluation_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38919,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Bassole_HybridDriveVLA_Vision-Language-Action_Model_CVPR_2026_supplemental.zip,32421-32430,Bassole_2026_CVPR,
10,"Training-free, Perceptually Consistent Low-Resolution Previews with High-Resolution Image for Efficient Workflows of Diffusion Models",Wongi Jeong; Hoigi Seo; Se Young Chun,https://arxiv.org/abs/2604.09227,https://openaccess.thecvf.com/content/CVPR2026/html/Jeong_Training-free_Perceptually_Consistent_Low-Resolution_Previews_with_High-Resolution_Image_for_Efficient_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_Training-free_Perceptually_Consistent_Low-Resolution_Previews_with_High-Resolution_Image_for_Efficient_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/39735,No,,,,,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Jeong_Training-free_Perceptually_Consistent_CVPR_2026_supplemental.pdf,4547-4557,Jeong_2026_CVPR,
